ref_x,ref_y,ref_theta,ref_curve
456590.4841,4425400.4436,0.2456,-0.1780
456590.5906,4425400.4692,0.2272,-0.1586
456590.7012,4425400.4938,0.2102,-0.1415
456590.8159,4425400.5173,0.1945,-0.1265
456590.9347,4425400.5398,0.1801,-0.1132
456591.0576,4425400.5613,0.1667,-0.1015
456591.1845,4425400.5819,0.1543,-0.0911
456591.3154,4425400.6014,0.1429,-0.0819
456591.4504,4425400.6201,0.1323,-0.0737
456591.5893,4425400.6379,0.1225,-0.0664
456591.7322,4425400.6548,0.1134,-0.0599
456591.8791,4425400.6709,0.1050,-0.0540
456592.0299,4425400.6862,0.0973,-0.0488
456592.1846,4425400.7008,0.0901,-0.0440
456592.3433,4425400.7145,0.0834,-0.0398
456592.5057,4425400.7276,0.0772,-0.0359
456592.6721,4425400.7400,0.0715,-0.0325
456592.8422,4425400.7517,0.0663,-0.0293
456593.0162,4425400.7628,0.0614,-0.0265
456593.1940,4425400.7734,0.0569,-0.0239
456593.3755,4425400.7833,0.0528,-0.0215
456593.5608,4425400.7928,0.0490,-0.0194
456593.7498,4425400.8017,0.0456,-0.0174
456593.9425,4425400.8102,0.0424,-0.0156
456594.1388,4425400.8182,0.0395,-0.0140
456594.3389,4425400.8258,0.0368,-0.0125
456594.5425,4425400.8331,0.0344,-0.0112
456594.7498,4425400.8400,0.0322,-0.0099
456594.9607,4425400.8466,0.0303,-0.0088
456595.1752,4425400.8529,0.0285,-0.0077
456595.3932,4425400.8589,0.0269,-0.0068
456595.6148,4425400.8647,0.0255,-0.0059
456595.8399,4425400.8703,0.0242,-0.0051
456596.0685,4425400.8757,0.0232,-0.0044
456596.3006,4425400.8810,0.0222,-0.0038
456596.5361,4425400.8861,0.0214,-0.0032
456596.7751,4425400.8911,0.0207,-0.0026
456597.0175,4425400.8961,0.0201,-0.0021
456597.2634,4425400.9010,0.0197,-0.0017
456597.5126,4425400.9058,0.0193,-0.0013
456597.7653,4425400.9107,0.0190,-0.0009
456598.0213,4425400.9155,0.0188,-0.0006
456598.4405,4425400.9096,0.0036,-0.0115
456598.5719,4425400.9120,0.0036,-0.0114
456598.8610,4425400.8950,-0.0178,-0.0257
456599.1157,4425400.8896,-0.0247,-0.0293
456599.3644,4425400.8825,-0.0325,-0.0333
456599.6071,4425400.8736,-0.0411,-0.0379
456599.8439,4425400.8628,-0.0507,-0.0432
456600.0746,4425400.8498,-0.0614,-0.0491
456600.2993,4425400.8347,-0.0732,-0.0558
456600.5181,4425400.8173,-0.0862,-0.0634
456600.7308,4425400.7974,-0.1007,-0.0719
456600.9376,4425400.7749,-0.1166,-0.0814
456601.1384,4425400.7496,-0.1341,-0.0921
456601.3332,4425400.7214,-0.1534,-0.1039
456601.5221,4425400.6902,-0.1745,-0.1170
456601.7050,4425400.6558,-0.1976,-0.1315
456601.8820,4425400.6181,-0.2228,-0.1473
456602.0532,4425400.5769,-0.2502,-0.1647
456602.2185,4425400.5321,-0.2800,-0.1833
456602.3779,4425400.4835,-0.3122,-0.2030
456602.5316,4425400.4310,-0.3468,-0.2235
456602.6796,4425400.3744,-0.3839,-0.2445
456602.8219,4425400.3137,-0.4233,-0.2656
456602.9586,4425400.2487,-0.4651,-0.2862
456603.0897,4425400.1793,-0.5090,-0.3056
456603.2153,4425400.1054,-0.5549,-0.3232
456603.3356,4425400.0269,-0.6024,-0.3382
456603.4505,4425399.9436,-0.6513,-0.3500
456603.5602,4425399.8556,-0.7011,-0.3579
456603.6648,4425399.7627,-0.7515,-0.3615
456603.7644,4425399.6648,-0.8020,-0.3606
456603.8591,4425399.5619,-0.8521,-0.3554
456603.9489,4425399.4539,-0.9014,-0.3461
456604.0341,4425399.3408,-0.9496,-0.3332
456604.1147,4425399.2224,-0.9962,-0.3173
456604.1909,4425399.0987,-1.0410,-0.2992
456604.2627,4425398.9698,-1.0837,-0.2796
456604.3304,4425398.8354,-1.1242,-0.2591
456604.3940,4425398.6957,-1.1624,-0.2384
456604.4536,4425398.5506,-1.1982,-0.2179
456604.5096,4425398.4001,-1.2316,-0.1984
456604.5618,4425398.2442,-1.2627,-0.1799
456604.6106,4425398.0827,-1.2915,-0.1625
